step,line,chars,budget_hit_chars_ge3500,answer_anywhere,answer_last500,garbled,saved_reward,recomputed_reward
9,26,3650,1,0,0,0,0.0,0.0
9,27,3720,1,0,0,0,0.0,0.0
9,28,3869,1,1,1,0,1.0,1.0
9,29,2216,0,1,1,0,1.0,1.0
9,30,3154,0,1,1,0,1.0,1.0
9,31,2934,0,1,1,0,1.0,1.0
9,32,2116,0,1,1,0,1.0,1.0
9,33,3510,1,1,1,0,1.0,1.0
9,34,3158,0,1,1,0,1.0,1.0
9,35,3132,0,1,1,0,1.0,1.0
9,36,3902,1,1,0,0,0.0,0.0
9,37,2762,0,0,0,0,0.0,0.0
9,38,2949,0,0,0,0,0.0,0.0
9,39,3041,0,0,0,0,0.0,0.0
9,40,2726,0,0,0,0,0.0,0.0
9,41,1465,0,1,1,0,1.0,1.0
9,42,2114,0,1,1,0,1.0,1.0
9,43,1992,0,1,1,0,1.0,1.0
9,44,1210,0,1,1,0,1.0,1.0
9,45,3279,0,1,0,0,0.0,0.0
9,46,3348,0,0,0,0,0.0,0.0
9,47,3301,0,0,0,0,0.0,0.0
9,48,3265,0,0,0,0,0.0,0.0
9,49,4000,1,0,0,0,0.0,0.0
9,50,3980,1,0,0,0,0.0,0.0
9,51,3946,1,0,0,0,0.0,0.0
9,52,4040,1,0,0,0,0.0,0.0
9,53,4222,1,0,0,0,0.0,0.0
9,54,4143,1,0,0,0,0.0,0.0
9,55,4190,1,0,0,0,0.0,0.0
9,56,4230,1,0,0,0,0.0,0.0
9,57,2557,0,1,1,0,1.0,1.0
9,58,3197,0,1,1,0,1.0,1.0
9,59,3100,0,1,1,0,1.0,1.0
9,60,3140,0,1,0,0,0.0,0.0
9,61,3963,1,0,0,0,0.0,0.0
9,62,4081,1,0,0,0,0.0,0.0
9,63,3829,1,0,0,0,0.0,0.0
9,64,4131,1,0,0,0,0.0,0.0
10,1,3424,0,1,1,0,1.0,1.0
10,2,3460,0,1,1,0,1.0,1.0
10,3,3459,0,0,0,0,0.0,0.0
10,4,3449,0,0,0,0,0.0,0.0
10,5,3249,0,1,1,0,1.0,1.0
10,6,2849,0,1,1,0,1.0,1.0
10,7,3141,0,1,0,0,0.0,0.0
10,8,3340,0,0,0,0,0.0,0.0
10,9,3140,0,1,0,0,0.0,0.0
10,10,3268,0,1,1,0,1.0,1.0
10,11,2920,0,1,1,0,1.0,1.0
10,12,3144,0,0,0,0,0.0,0.0
10,13,3763,1,1,0,0,0.0,0.0
10,14,3468,0,1,1,0,1.0,1.0
10,15,3451,0,1,1,0,1.0,1.0
10,16,3912,1,1,1,0,1.0,1.0
10,17,2678,0,0,0,0,0.0,0.0
10,18,2850,0,1,0,0,0.0,0.0
